Rank,Team,Games,W-L,Assists,Per Game,Date,Academic Year
1,UAlbany (America East),19,16-3,203,10.68,05/25/2015-Final Statistics,2015.0
2,Stony Brook (America East),18,13-5,165,9.17,05/25/2015-Final Statistics,2015.0
3,North Carolina (ACC),17,13-4,151,8.88,05/25/2015-Final Statistics,2015.0
4,Syracuse (ACC),16,13-3,140,8.75,05/25/2015-Final Statistics,2015.0
5,Denver (Big East),19,17-2,156,8.21,05/25/2015-Final Statistics,2015.0
6,Brown (Ivy League),17,12-5,139,8.18,05/25/2015-Final Statistics,2015.0
7,Duke (ACC),18,12-6,146,8.11,05/25/2015-Final Statistics,2015.0
8,Johns Hopkins (Big Ten),18,11-7,140,7.78,05/25/2015-Final Statistics,2015.0
9,Princeton (Ivy League),15,9-6,114,7.60,05/25/2015-Final Statistics,2015.0
10,Vermont (America East),16,6-10,118,7.38,05/25/2015-Final Statistics,2015.0
11,Richmond (SoCon),16,11-5,116,7.25,05/25/2015-Final Statistics,2015.0
12,Virginia (ACC),15,10-5,107,7.13,05/25/2015-Final Statistics,2015.0
13,Marist (MAAC),18,14-4,127,7.06,05/25/2015-Final Statistics,2015.0
14,Loyola Maryland (Patriot),15,7-8,104,6.93,05/25/2015-Final Statistics,2015.0
15,Quinnipiac (MAAC),15,7-8,101,6.73,05/25/2015-Final Statistics,2015.0
16,Harvard (Ivy League),14,7-7,94,6.71,05/25/2015-Final Statistics,2015.0
17,Yale (Ivy League),16,11-5,107,6.69,05/25/2015-Final Statistics,2015.0
18,Boston U. (Patriot),14,6-8,93,6.64,05/25/2015-Final Statistics,2015.0
19,Massachusetts (CAA),15,5-10,99,6.60,05/25/2015-Final Statistics,2015.0
20,Army West Point (Patriot),17,10-7,112,6.59,05/25/2015-Final Statistics,2015.0
21,Notre Dame (ACC),15,12-3,98,6.53,05/25/2015-Final Statistics,2015.0
22,Penn (Ivy League),13,6-7,81,6.23,05/25/2015-Final Statistics,2015.0
23,Georgetown (Big East),16,10-6,98,6.13,05/25/2015-Final Statistics,2015.0
24,Colgate (Patriot),16,10-6,97,6.06,05/25/2015-Final Statistics,2015.0
25,Hartford (America East),15,7-8,90,6.00,05/25/2015-Final Statistics,2015.0
25,Saint Joseph's (NEC),17,11-6,102,6.00,05/25/2015-Final Statistics,2015.0
25,Binghamton (America East),13,4-9,78,6.00,05/25/2015-Final Statistics,2015.0
28,Lehigh (Patriot),16,7-9,94,5.88,05/25/2015-Final Statistics,2015.0
29,Jacksonville (SoCon),12,4-8,70,5.83,05/25/2015-Final Statistics,2015.0
30,High Point (SoCon),17,10-7,99,5.82,05/25/2015-Final Statistics,2015.0
31,St. John's (NY) (Big East),14,3-11,79,5.64,05/25/2015-Final Statistics,2015.0
32,Ohio St. (Big Ten),19,12-7,107,5.63,05/25/2015-Final Statistics,2015.0
33,Cornell (Ivy League),16,10-6,90,5.63,05/25/2015-Final Statistics,2015.0
34,Rutgers (Big Ten),15,5-10,84,5.60,05/25/2015-Final Statistics,2015.0
35,Air Force (ECAC),15,8-7,83,5.53,05/25/2015-Final Statistics,2015.0
36,Siena (MAAC),14,5-9,76,5.43,05/25/2015-Final Statistics,2015.0
37,Bellarmine (SoCon),12,4-8,65,5.42,05/25/2015-Final Statistics,2015.0
38,Villanova (Big East),14,6-8,74,5.29,05/25/2015-Final Statistics,2015.0
38,Hofstra (CAA),14,5-9,74,5.29,05/25/2015-Final Statistics,2015.0
40,Fairfield (CAA),15,9-6,79,5.27,05/25/2015-Final Statistics,2015.0
41,Marquette (Big East),16,10-6,84,5.25,05/25/2015-Final Statistics,2015.0
42,Detroit Mercy (MAAC),14,8-6,73,5.21,05/25/2015-Final Statistics,2015.0
43,Navy (Patriot),14,9-5,71,5.07,05/25/2015-Final Statistics,2015.0
43,Robert Morris (NEC),14,3-11,71,5.07,05/25/2015-Final Statistics,2015.0
45,Delaware (CAA),15,5-10,75,5.00,05/25/2015-Final Statistics,2015.0
46,Sacred Heart (NEC),13,6-7,64,4.92,05/25/2015-Final Statistics,2015.0
46,Dartmouth (Ivy League),13,5-8,64,4.92,05/25/2015-Final Statistics,2015.0
48,Holy Cross (Patriot),13,6-7,63,4.85,05/25/2015-Final Statistics,2015.0
49,Drexel (CAA),15,7-8,72,4.80,05/25/2015-Final Statistics,2015.0
50,Lafayette (Patriot),14,4-10,67,4.79,05/25/2015-Final Statistics,2015.0
51,Bryant (NEC),18,8-10,86,4.78,05/25/2015-Final Statistics,2015.0
52,Maryland (Big Ten),19,15-4,89,4.68,05/25/2015-Final Statistics,2015.0
53,Penn St. (Big Ten),14,5-9,65,4.64,05/25/2015-Final Statistics,2015.0
54,Mercer (SoCon),13,5-8,60,4.62,05/25/2015-Final Statistics,2015.0
55,UMBC (America East),13,5-8,59,4.54,05/25/2015-Final Statistics,2015.0
56,Bucknell (Patriot),15,9-6,67,4.47,05/25/2015-Final Statistics,2015.0
57,Michigan (Big Ten),13,5-8,56,4.31,05/25/2015-Final Statistics,2015.0
58,Towson (CAA),18,12-6,76,4.22,05/25/2015-Final Statistics,2015.0
59,Wagner (NEC),13,4-9,54,4.15,05/25/2015-Final Statistics,2015.0
60,Canisius (MAAC),15,3-12,62,4.13,05/25/2015-Final Statistics,2015.0
61,Hobart (NEC),14,7-7,52,3.71,05/25/2015-Final Statistics,2015.0
62,Furman (SoCon),13,4-9,48,3.69,05/25/2015-Final Statistics,2015.0
63,Providence (Big East),14,5-9,48,3.43,05/25/2015-Final Statistics,2015.0
64,Mount St. Mary's (NEC),15,5-10,44,2.93,05/25/2015-Final Statistics,2015.0
65,Manhattan (MAAC),15,1-14,43,2.87,05/25/2015-Final Statistics,2015.0
66,Monmouth (MAAC),14,6-8,40,2.86,05/25/2015-Final Statistics,2015.0
67,NJIT (Independent),12,0-12,29,2.42,05/25/2015-Final Statistics,2015.0
68,VMI (SoCon),15,1-14,28,1.87,05/25/2015-Final Statistics,2015.0
-,UMass Lowell (America East),14,1-13,52,3.71,05/25/2015-Final Statistics,2015.0
1,UAlbany (America East),19,16-3,203,10.68,05/23/2015,2015.0
2,Stony Brook (America East),18,13-5,165,9.17,05/23/2015,2015.0
3,North Carolina (ACC),17,13-4,151,8.88,05/23/2015,2015.0
4,Syracuse (ACC),16,13-3,140,8.75,05/23/2015,2015.0
5,Denver (Big East),18,16-2,152,8.44,05/23/2015,2015.0
6,Brown (Ivy League),17,12-5,139,8.18,05/23/2015,2015.0
7,Duke (ACC),18,12-6,146,8.11,05/23/2015,2015.0
8,Johns Hopkins (Big Ten),18,11-7,140,7.78,05/23/2015,2015.0
9,Princeton (Ivy League),15,9-6,114,7.60,05/23/2015,2015.0
10,Vermont (America East),16,6-10,118,7.38,05/23/2015,2015.0
11,Richmond (SoCon),16,11-5,116,7.25,05/23/2015,2015.0
12,Virginia (ACC),15,10-5,107,7.13,05/23/2015,2015.0
13,Marist (MAAC),18,14-4,127,7.06,05/23/2015,2015.0
14,Loyola Maryland (Patriot),15,7-8,104,6.93,05/23/2015,2015.0
15,Quinnipiac (MAAC),15,7-8,101,6.73,05/23/2015,2015.0
16,Harvard (Ivy League),14,7-7,94,6.71,05/23/2015,2015.0
17,Yale (Ivy League),16,11-5,107,6.69,05/23/2015,2015.0
18,Boston U. (Patriot),14,6-8,93,6.64,05/23/2015,2015.0
19,Massachusetts (CAA),15,5-10,99,6.60,05/23/2015,2015.0
20,Army West Point (Patriot),17,10-7,112,6.59,05/23/2015,2015.0
21,Notre Dame (ACC),15,12-3,98,6.53,05/23/2015,2015.0
22,Penn (Ivy League),13,6-7,81,6.23,05/23/2015,2015.0
23,Georgetown (Big East),16,10-6,98,6.13,05/23/2015,2015.0
24,Colgate (Patriot),16,10-6,97,6.06,05/23/2015,2015.0
25,Hartford (America East),15,7-8,90,6.00,05/23/2015,2015.0
25,Saint Joseph's (NEC),17,11-6,102,6.00,05/23/2015,2015.0
25,Binghamton (America East),13,4-9,78,6.00,05/23/2015,2015.0
28,Lehigh (Patriot),16,7-9,94,5.88,05/23/2015,2015.0
29,Jacksonville (SoCon),12,4-8,70,5.83,05/23/2015,2015.0
30,High Point (SoCon),17,10-7,99,5.82,05/23/2015,2015.0
31,St. John's (NY) (Big East),14,3-11,79,5.64,05/23/2015,2015.0
32,Ohio St. (Big Ten),19,12-7,107,5.63,05/23/2015,2015.0
33,Cornell (Ivy League),16,10-6,90,5.63,05/23/2015,2015.0
34,Rutgers (Big Ten),15,5-10,84,5.60,05/23/2015,2015.0
35,Air Force (ECAC),15,8-7,83,5.53,05/23/2015,2015.0
36,Siena (MAAC),14,5-9,76,5.43,05/23/2015,2015.0
37,Bellarmine (SoCon),12,4-8,65,5.42,05/23/2015,2015.0
38,Villanova (Big East),14,6-8,74,5.29,05/23/2015,2015.0
38,Hofstra (CAA),14,5-9,74,5.29,05/23/2015,2015.0
40,Fairfield (CAA),15,9-6,79,5.27,05/23/2015,2015.0
41,Marquette (Big East),16,10-6,84,5.25,05/23/2015,2015.0
42,Detroit Mercy (MAAC),14,8-6,73,5.21,05/23/2015,2015.0
43,Navy (Patriot),14,9-5,71,5.07,05/23/2015,2015.0
43,Robert Morris (NEC),14,3-11,71,5.07,05/23/2015,2015.0
45,Delaware (CAA),15,5-10,75,5.00,05/23/2015,2015.0
46,Sacred Heart (NEC),13,6-7,64,4.92,05/23/2015,2015.0
46,Dartmouth (Ivy League),13,5-8,64,4.92,05/23/2015,2015.0
48,Holy Cross (Patriot),13,6-7,63,4.85,05/23/2015,2015.0
49,Maryland (Big Ten),18,15-3,87,4.83,05/23/2015,2015.0
50,Drexel (CAA),15,7-8,72,4.80,05/23/2015,2015.0
51,Lafayette (Patriot),14,4-10,67,4.79,05/23/2015,2015.0
52,Bryant (NEC),18,8-10,86,4.78,05/23/2015,2015.0
53,Penn St. (Big Ten),14,5-9,65,4.64,05/23/2015,2015.0
54,Mercer (SoCon),13,5-8,60,4.62,05/23/2015,2015.0
55,UMBC (America East),13,5-8,59,4.54,05/23/2015,2015.0
56,Bucknell (Patriot),15,9-6,67,4.47,05/23/2015,2015.0
57,Michigan (Big Ten),13,5-8,56,4.31,05/23/2015,2015.0
58,Towson (CAA),18,12-6,76,4.22,05/23/2015,2015.0
59,Wagner (NEC),13,4-9,54,4.15,05/23/2015,2015.0
60,Canisius (MAAC),15,3-12,62,4.13,05/23/2015,2015.0
61,Hobart (NEC),14,7-7,52,3.71,05/23/2015,2015.0
62,Furman (SoCon),13,4-9,48,3.69,05/23/2015,2015.0
63,Providence (Big East),14,5-9,48,3.43,05/23/2015,2015.0
64,Mount St. Mary's (NEC),15,5-10,44,2.93,05/23/2015,2015.0
65,Manhattan (MAAC),15,1-14,43,2.87,05/23/2015,2015.0
66,Monmouth (MAAC),14,6-8,40,2.86,05/23/2015,2015.0
67,NJIT (Independent),12,0-12,29,2.42,05/23/2015,2015.0
68,VMI (SoCon),15,1-14,28,1.87,05/23/2015,2015.0
-,UMass Lowell (America East),14,1-13,52,3.71,05/23/2015,2015.0
1,UAlbany (America East),19,16-3,203,10.68,05/17/2015,2015.0
2,Stony Brook (America East),18,13-5,165,9.17,05/17/2015,2015.0
3,North Carolina (ACC),17,13-4,151,8.88,05/17/2015,2015.0
4,Syracuse (ACC),16,13-3,140,8.75,05/17/2015,2015.0
5,Denver (Big East),17,15-2,147,8.65,05/17/2015,2015.0
6,Brown (Ivy League),17,12-5,139,8.18,05/17/2015,2015.0
7,Johns Hopkins (Big Ten),17,11-6,138,8.12,05/17/2015,2015.0
8,Duke (ACC),18,12-6,146,8.11,05/17/2015,2015.0
9,Princeton (Ivy League),15,9-6,114,7.60,05/17/2015,2015.0
10,Vermont (America East),16,6-10,118,7.38,05/17/2015,2015.0
11,Richmond (SoCon),16,11-5,116,7.25,05/17/2015,2015.0
12,Virginia (ACC),15,10-5,107,7.13,05/17/2015,2015.0
13,Marist (MAAC),18,14-4,127,7.06,05/17/2015,2015.0
14,Loyola Maryland (Patriot),15,7-8,104,6.93,05/17/2015,2015.0
15,Quinnipiac (MAAC),15,7-8,101,6.73,05/17/2015,2015.0
16,Harvard (Ivy League),14,7-7,94,6.71,05/17/2015,2015.0
17,Yale (Ivy League),16,11-5,107,6.69,05/17/2015,2015.0
18,Boston U. (Patriot),14,6-8,93,6.64,05/17/2015,2015.0
19,Massachusetts (CAA),15,5-10,99,6.60,05/17/2015,2015.0
20,Army West Point (Patriot),17,10-7,112,6.59,05/17/2015,2015.0
21,Notre Dame (ACC),14,12-2,92,6.57,05/17/2015,2015.0
22,Penn (Ivy League),13,6-7,81,6.23,05/17/2015,2015.0
23,Georgetown (Big East),16,10-6,98,6.13,05/17/2015,2015.0
24,Colgate (Patriot),16,10-6,97,6.06,05/17/2015,2015.0
25,Saint Joseph's (NEC),17,11-6,102,6.00,05/17/2015,2015.0
25,Binghamton (America East),13,4-9,78,6.00,05/17/2015,2015.0
25,Hartford (America East),15,7-8,90,6.00,05/17/2015,2015.0
28,Lehigh (Patriot),16,7-9,94,5.88,05/17/2015,2015.0
29,Jacksonville (SoCon),12,4-8,70,5.83,05/17/2015,2015.0
30,High Point (SoCon),17,10-7,99,5.82,05/17/2015,2015.0
31,St. John's (NY) (Big East),14,3-11,79,5.64,05/17/2015,2015.0
32,Ohio St. (Big Ten),19,12-7,107,5.63,05/17/2015,2015.0
33,Cornell (Ivy League),16,10-6,90,5.63,05/17/2015,2015.0
34,Rutgers (Big Ten),15,5-10,84,5.60,05/17/2015,2015.0
35,Air Force (ECAC),15,8-7,83,5.53,05/17/2015,2015.0
36,Siena (MAAC),14,5-9,76,5.43,05/17/2015,2015.0
37,Bellarmine (SoCon),12,4-8,65,5.42,05/17/2015,2015.0
38,Villanova (Big East),14,6-8,74,5.29,05/17/2015,2015.0
38,Hofstra (CAA),14,5-9,74,5.29,05/17/2015,2015.0
40,Fairfield (CAA),15,9-6,79,5.27,05/17/2015,2015.0
41,Marquette (Big East),16,10-6,84,5.25,05/17/2015,2015.0
42,Detroit Mercy (MAAC),14,8-6,73,5.21,05/17/2015,2015.0
43,Navy (Patriot),14,9-5,71,5.07,05/17/2015,2015.0
43,Robert Morris (NEC),14,3-11,71,5.07,05/17/2015,2015.0
45,Delaware (CAA),15,5-10,75,5.00,05/17/2015,2015.0
46,Dartmouth (Ivy League),13,5-8,64,4.92,05/17/2015,2015.0
46,Sacred Heart (NEC),13,6-7,64,4.92,05/17/2015,2015.0
48,Holy Cross (Patriot),13,6-7,63,4.85,05/17/2015,2015.0
49,Drexel (CAA),15,7-8,72,4.80,05/17/2015,2015.0
50,Lafayette (Patriot),14,4-10,67,4.79,05/17/2015,2015.0
51,Bryant (NEC),18,8-10,86,4.78,05/17/2015,2015.0
52,Maryland (Big Ten),17,14-3,81,4.76,05/17/2015,2015.0
